Wall time,Step,Value
1575937850.4263058,0,150.0
1575937853.364731,10,53.0
1575937854.517105,20,49.0
1575937855.1257415,30,16.0
1575937855.6268435,40,20.0
1575937856.2930546,50,47.0
1575937857.6104703,60,8.0
1575937858.2180173,70,9.0
1575937858.95499,80,16.0
1575937859.6525524,90,26.0
1575937860.3411257,100,29.0
1575937861.697875,110,36.0
1575937862.25578,120,22.0
1575937862.700429,130,28.0
1575937863.415763,140,28.0
1575937863.9477715,150,20.0
1575937865.1975772,160,18.0
1575937865.8104832,170,37.0
1575937866.4120052,180,29.0
1575937867.0268776,190,33.0
1575937867.711437,200,24.0
1575937869.2705982,210,35.0
1575937870.1269853,220,36.0
1575937871.0085635,230,47.0
1575937872.8346746,240,76.0
1575937874.9989944,250,113.0
1575937880.9585178,260,81.0
1575937883.676384,270,161.0
1575937886.9213502,280,113.0
1575937889.5337238,290,118.0
1575937892.1242554,300,96.0
1575937899.502613,310,124.0
1575937902.6107972,320,104.0
1575937905.7716208,330,89.0
1575937908.8636556,340,114.0
1575937911.9279518,350,163.0
1575937919.3997858,360,169.0
1575937922.6191382,370,156.0
1575937925.5166833,380,153.0
1575937928.195695,390,111.0
1575937930.2818315,400,122.0
1575937936.477313,410,138.0
1575937938.8978376,420,27.0
1575937941.6185958,430,123.0
1575937944.4118433,440,127.0
1575937947.3573503,450,130.0
1575937954.410157,460,177.0
1575937958.1395674,470,162.0
1575937962.3534653,480,200.0
1575937963.7626827,490,111.0
1575937964.0854726,500,12.0
1575937964.8365488,510,18.0
1575937965.2790728,520,23.0
1575937965.6465225,530,15.0
1575937966.1712635,540,15.0
1575937966.535112,550,12.0
1575937967.3076644,560,11.0
1575937967.6695514,570,13.0
1575937967.9900625,580,14.0
1575937968.3608997,590,16.0
1575937968.8191369,600,17.0
1575937969.6580849,610,14.0
1575937970.2324414,620,16.0
1575937970.6811416,630,18.0
1575937971.7610197,640,122.0
1575937973.000827,650,59.0
1575937975.393726,660,20.0
1575937975.9932954,670,18.0
1575937976.4533355,680,23.0
1575937976.87761,690,15.0
1575937977.6382775,700,22.0
1575937979.79787,710,26.0
1575937980.7432613,720,75.0
1575937981.937404,730,98.0
1575937983.8038852,740,95.0
1575937986.9862397,750,154.0
1575937996.4791183,760,187.0
1575938000.7744381,770,200.0
1575938005.0425158,780,200.0
1575938009.3202498,790,200.0
1575938013.5999126,800,200.0
1575938023.7880323,810,200.0
1575938028.058457,820,200.0
1575938032.3617496,830,200.0
1575938036.6354144,840,200.0
1575938040.9177406,850,200.0
1575938051.1658878,860,200.0
1575938055.449846,870,200.0
1575938059.7074673,880,200.0
1575938063.9776733,890,200.0
1575938068.2310338,900,200.0
1575938078.4278085,910,200.0
1575938082.691208,920,200.0
1575938086.9417703,930,200.0
1575938091.188865,940,200.0
1575938095.47414,950,200.0
1575938105.6874213,960,200.0
1575938109.9651248,970,200.0
1575938114.2586622,980,200.0
1575938118.5962517,990,200.0
1575938122.8444047,1000,200.0
1575938133.0081007,1010,200.0
1575938137.2791402,1020,200.0
1575938139.5319455,1030,10.0
1575938139.882355,1040,12.0
1575938143.5195913,1050,200.0
1575938152.2746677,1060,73.0
1575938153.583859,1070,28.0
1575938154.112361,1080,19.0
1575938154.5737996,1090,20.0
1575938154.9861767,1100,13.0
1575938155.8171048,1110,12.0
1575938156.4529126,1120,26.0
1575938157.148427,1130,26.0
1575938157.6424036,1140,23.0
1575938158.1694903,1150,22.0
1575938159.4127235,1160,23.0
1575938159.908787,1170,19.0
1575938160.53173,1180,33.0
1575938161.1832514,1190,26.0
1575938161.8862128,1200,26.0
1575938164.1861699,1210,38.0
1575938165.5018582,1220,51.0
1575938166.5648885,1230,36.0
1575938167.4553976,1240,45.0
1575938168.4856713,1250,44.0
1575938170.9904647,1260,49.0
1575938172.6685355,1270,87.0
1575938174.7492073,1280,127.0
1575938177.0019712,1290,156.0
1575938179.877239,1300,126.0
1575938187.983507,1310,200.0
1575938191.8694897,1320,200.0
1575938195.5320556,1330,162.0
1575938198.727677,1340,163.0
1575938201.5959475,1350,129.0
1575938208.3646917,1360,134.0
1575938211.2430828,1370,148.0
1575938214.1586902,1380,140.0
1575938217.2086613,1390,141.0
1575938220.130788,1400,139.0
1575938227.135838,1410,134.0
1575938230.1708345,1420,143.0
1575938233.4309003,1430,155.0
1575938236.7199688,1440,154.0
1575938240.0074852,1450,162.0
1575938248.1434698,1460,151.0
1575938251.5385077,1470,151.0
1575938254.8890793,1480,160.0
1575938258.3982856,1490,167.0
1575938261.9671185,1500,167.0
1575938270.1606877,1510,151.0
1575938273.591912,1520,147.0
1575938277.0448296,1530,164.0
1575938280.4408617,1540,163.0
1575938283.8121963,1550,157.0
1575938291.6443677,1560,153.0
1575938295.0113475,1570,160.0
1575938298.514071,1580,163.0
1575938301.9966388,1590,160.0
1575938305.4927442,1600,166.0
1575938313.6378827,1610,163.0
1575938317.164024,1620,160.0
1575938320.540195,1630,155.0
1575938324.0729952,1640,158.0
1575938327.6595376,1650,160.0
1575938335.886479,1660,157.0
1575938339.4145832,1670,164.0
1575938342.9143782,1680,162.0
1575938346.3551528,1690,165.0
1575938349.9021738,1700,176.0
1575938358.4088151,1710,172.0
1575938362.174678,1720,168.0
1575938365.8641064,1730,176.0
1575938369.7720923,1740,190.0
1575938373.7743747,1750,186.0
1575938383.4164672,1760,195.0
1575938387.4370375,1770,186.0
1575938391.4793956,1780,195.0
1575938395.5015242,1790,178.0
1575938399.4661326,1800,186.0
1575938409.142925,1810,196.0
1575938413.219836,1820,188.0
1575938417.2640114,1830,197.0
1575938421.4062612,1840,197.0
1575938425.585371,1850,195.0
1575938435.759299,1860,200.0
1575938440.0342655,1870,200.0
1575938444.278515,1880,192.0
1575938448.5442882,1890,200.0
1575938452.5776799,1900,200.0
1575938460.2619429,1910,11.0
1575938461.008075,1920,10.0
1575938461.4346304,1930,10.0
1575938462.1040325,1940,10.0
1575938462.4465976,1950,10.0
1575938463.103114,1960,9.0
1575938463.3935728,1970,9.0
1575938463.8240483,1980,38.0
1575938464.6053262,1990,80.0
1575938465.0018592,2000,10.0
1575938468.8775153,2010,200.0
1575938472.8912039,2020,196.0
1575938477.1315768,2030,200.0
1575938481.4078372,2040,200.0
1575938485.723767,2050,200.0
1575938495.9048665,2060,200.0
1575938500.1752229,2070,200.0
1575938504.447266,2080,200.0
1575938508.7277234,2090,200.0
1575938513.0108335,2100,200.0
1575938523.203804,2110,200.0
1575938527.4901345,2120,200.0
1575938531.7572415,2130,200.0
1575938536.0920367,2140,200.0
1575938540.3404655,2150,200.0
1575938550.5096915,2160,200.0
1575938554.7456586,2170,200.0
1575938558.9119744,2180,178.0
1575938562.3614392,2190,132.0
1575938564.8791497,2200,138.0
1575938571.6203966,2210,102.0
1575938572.2268322,2220,12.0
1575938572.8114667,2230,11.0
1575938573.1481364,2240,9.0
1575938573.4378705,2250,10.0
1575938573.9972377,2260,9.0
1575938574.3899052,2270,12.0
1575938574.726933,2280,10.0
1575938576.075095,2290,200.0
1575938578.1596944,2300,200.0
1575938588.3417773,2310,200.0
1575938592.6288314,2320,200.0
1575938596.8977177,2330,200.0
1575938601.1665275,2340,200.0
1575938605.4653673,2350,200.0
1575938615.6737654,2360,200.0
1575938619.9673688,2370,200.0
1575938624.2742412,2380,200.0
1575938628.5472202,2390,200.0
1575938633.2778647,2400,155.0
1575938641.4510438,2410,147.0
1575938644.3595064,2420,128.0
1575938647.4111457,2430,143.0
1575938647.737269,2440,9.0
1575938648.3263001,2450,9.0
1575938649.0892289,2460,17.0
1575938649.4166787,2470,9.0
1575938649.7643852,2480,26.0
1575938653.660786,2490,200.0
1575938657.9458585,2500,200.0
1575938668.1537316,2510,200.0
1575938672.437048,2520,200.0
1575938676.7124834,2530,200.0
1575938681.0097961,2540,200.0
1575938685.3013074,2550,200.0
1575938695.554049,2560,200.0
1575938699.8127265,2570,200.0
1575938704.0865765,2580,200.0
1575938708.3200943,2590,184.0
1575938712.567777,2600,200.0
1575938721.5365076,2610,200.0
1575938725.7161677,2620,200.0
1575938729.5454543,2630,186.0
1575938733.715877,2640,200.0
1575938737.5286396,2650,200.0
1575938747.788867,2660,200.0
1575938751.8655112,2670,200.0
1575938754.2074876,2680,200.0
1575938758.2742221,2690,111.0
1575938761.8798728,2700,200.0
1575938771.8522184,2710,200.0
1575938776.1232812,2720,200.0
1575938780.4194148,2730,200.0
1575938784.6821373,2740,200.0
1575938788.5747736,2750,14.0
1575938798.7864919,2760,200.0
1575938803.0713096,2770,200.0
1575938807.3438187,2780,200.0
1575938811.6142883,2790,200.0
1575938815.2908964,2800,95.0
1575938822.4473758,2810,54.0
1575938824.9209492,2820,97.0
1575938826.370628,2830,200.0
1575938829.6830723,2840,200.0
1575938833.9623153,2850,200.0
1575938844.156951,2860,200.0
1575938848.4489808,2870,200.0
1575938852.727166,2880,200.0
1575938857.0106509,2890,200.0
1575938861.2915044,2900,200.0
1575938871.4620168,2910,200.0
1575938875.624983,2920,149.0
1575938879.3399322,2930,16.0
1575938881.2307143,2940,158.0
1575938884.7702777,2950,198.0
1575938893.6228905,2960,200.0
1575938897.8949678,2970,200.0
1575938902.1556792,2980,200.0
1575938906.417648,2990,200.0
1575938910.5077858,3000,200.0
1575938920.2409098,3010,198.0
1575938924.4451103,3020,200.0
1575938928.506591,3030,177.0
1575938932.4986424,3040,179.0
1575938935.9027777,3050,146.0
1575938943.0552719,3060,140.0
1575938946.406945,3070,149.0
1575938950.2219043,3080,146.0
1575938952.2183661,3090,10.0
1575938953.1858704,3100,11.0
1575938954.0393567,3110,10.0
1575938954.3380542,3120,12.0
1575938954.6538842,3130,11.0
1575938954.939422,3140,10.0
1575938955.2241323,3150,9.0
1575938955.7962883,3160,10.0
1575938957.9782407,3170,167.0
1575938962.2453122,3180,200.0
1575938966.4520853,3190,200.0
1575938970.7141917,3200,200.0
1575938980.890363,3210,200.0
1575938985.1482615,3220,200.0
1575938989.4388394,3230,200.0
1575938993.7183952,3240,200.0
1575938997.997511,3250,200.0
1575939008.2281656,3260,200.0
