Wall time,Step,Value
1576146848.711785,0,8.0
1576146849.2851048,10,9.0
1576146849.4806135,20,9.0
1576146849.674556,30,9.0
1576146849.8668716,40,9.0
1576146850.0626354,50,10.0
1576146850.5296266,60,10.0
1576146850.7200236,70,9.0
1576146850.9071393,80,11.0
1576146851.0979037,90,11.0
1576146851.2742138,100,9.0
1576146852.1778753,110,9.0
1576146852.5536873,120,10.0
1576146852.943755,130,10.0
1576146853.3540006,140,11.0
1576146853.7692819,150,9.0
1576146854.4620914,160,12.0
1576146854.8629062,170,9.0
1576146855.3054094,180,9.0
1576146856.2651405,190,12.0
1576146856.7535663,200,14.0
1576146857.56672,210,12.0
1576146858.389848,220,135.0
1576146860.410201,230,64.0
1576146864.5133867,240,200.0
1576146869.5149548,250,200.0
1576146882.9740438,260,200.0
1576146888.7391605,270,200.0
1576146894.807412,280,200.0
1576146900.8788955,290,200.0
1576146906.9677923,300,200.0
1576146919.4360802,310,200.0
1576146924.737328,320,200.0
1576146929.0679421,330,200.0
1576146934.4594507,340,200.0
1576146940.2306178,350,200.0
1576146950.5575266,360,200.0
1576146955.9971774,370,200.0
1576146961.5919888,380,200.0
1576146967.5491297,390,200.0
1576146972.8943813,400,200.0
1576146984.9178772,410,194.0
1576146990.1138995,420,200.0
1576146995.4065604,430,200.0
1576147000.6560464,440,200.0
1576147006.0129068,450,200.0
1576147017.1159062,460,200.0
1576147022.2561686,470,200.0
1576147027.6100624,480,200.0
1576147033.3356895,490,200.0
1576147038.9119463,500,114.0
1576147051.4044473,510,200.0
1576147057.224433,520,200.0
1576147063.7689064,530,196.0
1576147069.0212584,540,192.0
1576147074.683952,550,160.0
1576147086.760738,560,157.0
1576147092.1895664,570,144.0
1576147097.4841044,580,88.0
1576147100.557933,590,116.0
1576147104.1021163,600,109.0
1576147114.1748805,610,200.0
1576147119.8319235,620,200.0
1576147125.688095,630,200.0
1576147132.4392529,640,200.0
1576147138.8498926,650,200.0
1576147150.26518,660,200.0
1576147155.9099789,670,200.0
1576147161.794306,680,200.0
1576147167.9936767,690,200.0
1576147173.3919988,700,200.0
1576147184.603946,710,200.0
1576147190.1833038,720,125.0
1576147195.2961137,730,122.0
1576147200.121911,740,100.0
1576147205.4119632,750,168.0
1576147216.7807393,760,200.0
1576147221.9091766,770,200.0
1576147227.2073653,780,159.0
1576147231.837051,790,150.0
1576147237.0579598,800,200.0
1576147249.5548158,810,145.0
1576147254.0950565,820,156.0
1576147258.8382633,830,175.0
1576147263.048286,840,142.0
1576147267.5791833,850,133.0
1576147275.7739878,860,107.0
1576147279.0268292,870,127.0
1576147283.1206024,880,130.0
1576147288.2292125,890,160.0
1576147292.5460823,900,135.0
1576147300.5988135,910,138.0
1576147304.6245456,920,135.0
1576147308.6276925,930,177.0
1576147313.450936,940,148.0
1576147317.7936206,950,157.0
1576147328.3841925,960,153.0
1576147333.0319328,970,140.0
1576147336.987657,980,197.0
1576147342.612938,990,200.0
1576147347.9524324,1000,200.0
1576147361.078113,1010,200.0
1576147366.912372,1020,200.0
1576147372.905583,1030,200.0
1576147378.246491,1040,182.0
1576147383.1337588,1050,114.0
1576147390.4432616,1060,200.0
1576147395.1141026,1070,125.0
1576147400.6748714,1080,131.0
1576147405.3310535,1090,156.0
1576147412.176888,1100,200.0
1576147424.2807248,1110,200.0
1576147429.4367867,1120,200.0
1576147435.0940588,1130,200.0
1576147440.8622284,1140,174.0
1576147445.9848735,1150,200.0
1576147456.9909961,1160,189.0
1576147462.130442,1170,169.0
1576147467.2985783,1180,160.0
1576147472.2518942,1190,149.0
1576147477.7902062,1200,200.0
1576147491.0172887,1210,196.0
1576147496.4606287,1220,180.0
1576147503.1871393,1230,200.0
1576147507.9987674,1240,132.0
1576147512.3610654,1250,116.0
1576147521.7772803,1260,128.0
1576147526.2347069,1270,157.0
1576147531.037857,1280,143.0
1576147535.639688,1290,153.0
1576147540.8307865,1300,171.0
1576147550.1100142,1310,169.0
1576147554.7139227,1320,198.0
1576147559.926185,1330,168.0
1576147564.8378117,1340,166.0
1576147569.647508,1350,172.0
1576147578.8322756,1360,173.0
1576147583.9034402,1370,192.0
1576147588.9507797,1380,200.0
1576147594.0622613,1390,196.0
1576147598.845302,1400,174.0
1576147606.2531703,1410,144.0
1576147609.699814,1420,40.0
1576147615.1580374,1430,200.0
1576147619.9666104,1440,101.0
1576147624.6862402,1450,121.0
1576147634.7312703,1460,200.0
1576147639.2976873,1470,120.0
1576147643.9463987,1480,57.0
1576147648.747923,1490,140.0
1576147652.198124,1500,125.0
1576147658.628198,1510,123.0
1576147662.4333816,1520,135.0
1576147666.2069392,1530,153.0
1576147670.1190119,1540,74.0
1576147674.922681,1550,186.0
1576147685.1292598,1560,171.0
1576147689.5291884,1570,164.0
1576147694.2609444,1580,200.0
1576147698.4724529,1590,131.0
1576147703.5421648,1600,151.0
1576147714.5338118,1610,199.0
1576147719.7285247,1620,200.0
1576147725.554045,1630,200.0
1576147731.5943992,1640,200.0
1576147736.5171063,1650,161.0
1576147746.8151884,1660,126.0
1576147749.9594805,1670,200.0
1576147755.165645,1680,199.0
1576147760.785068,1690,200.0
1576147766.29342,1700,200.0
1576147777.099482,1710,166.0
1576147781.7395914,1720,153.0
1576147786.6500876,1730,200.0
1576147791.4296808,1740,162.0
1576147795.6640213,1750,124.0
1576147803.2654378,1760,108.0
1576147806.5500715,1770,121.0
1576147810.37702,1780,96.0
1576147813.2553651,1790,103.0
1576147815.9670398,1800,94.0
1576147822.4752533,1810,52.0
1576147825.8400655,1820,106.0
1576147830.653802,1830,200.0
1576147836.11431,1840,200.0
1576147841.2577922,1850,200.0
1576147852.3915873,1860,166.0
1576147857.8265083,1870,200.0
1576147863.3365457,1880,200.0
1576147867.62881,1890,165.0
1576147872.5512083,1900,200.0
1576147882.8121057,1910,146.0
1576147886.7462428,1920,200.0
1576147892.3277407,1930,200.0
1576147897.7878382,1940,200.0
1576147903.1750295,1950,200.0
1576147914.3374155,1960,200.0
1576147918.2514806,1970,122.0
1576147922.4973733,1980,200.0
1576147927.0751073,1990,153.0
1576147931.5271122,2000,200.0
1576147941.0101368,2010,151.0
1576147945.1326056,2020,173.0
1576147948.6581948,2030,134.0
1576147951.9727156,2040,127.0
1576147956.1798408,2050,124.0
1576147964.7441459,2060,200.0
1576147969.0165179,2070,124.0
1576147973.117056,2080,200.0
1576147976.185813,2090,200.0
1576147980.5794303,2100,200.0
1576147990.9661026,2110,200.0
1576147996.1621296,2120,200.0
1576148000.9084914,2130,200.0
1576148006.2812104,2140,200.0
1576148011.4505568,2150,200.0
1576148021.9967968,2160,200.0
1576148026.2583053,2170,169.0
1576148029.3639636,2180,93.0
1576148032.4407475,2190,91.0
1576148036.190986,2200,141.0
1576148043.975411,2210,149.0
1576148048.1641622,2220,145.0
1576148052.4946218,2230,144.0
1576148056.6192768,2240,151.0
1576148060.8549123,2250,158.0
1576148069.4928713,2260,134.0
1576148073.575135,2270,138.0
1576148077.4509025,2280,135.0
1576148081.3727136,2290,144.0
1576148084.6586626,2300,133.0
1576148089.7580428,2310,21.0
1576148090.7013595,2320,35.0
1576148092.914564,2330,30.0
1576148095.043535,2340,89.0
1576148098.8865912,2350,139.0
1576148106.6425073,2360,160.0
1576148110.4463768,2370,135.0
1576148112.972965,2380,93.0
1576148116.4677117,2390,124.0
1576148120.0510554,2400,118.0
1576148127.284717,2410,117.0
1576148130.6333244,2420,119.0
1576148133.8510723,2430,108.0
1576148136.9070735,2440,113.0
1576148140.6641612,2450,131.0
1576148148.4507878,2460,161.0
1576148153.4502673,2470,200.0
1576148158.4730365,2480,200.0
1576148163.5790064,2490,129.0
1576148168.496353,2500,62.0
1576148178.8033078,2510,200.0
1576148184.3697686,2520,200.0
1576148186.9941905,2530,87.0
1576148190.2339084,2540,105.0
1576148193.7249017,2550,159.0
1576148203.7928598,2560,157.0
1576148207.6235476,2570,135.0
1576148212.5012891,2580,179.0
1576148215.095907,2590,87.0
1576148217.9719343,2600,200.0
1576148227.8490224,2610,200.0
1576148231.193443,2620,116.0
1576148234.6568654,2630,158.0
1576148238.1993158,2640,105.0
1576148241.6840734,2650,163.0
1576148248.5910783,2660,139.0
1576148251.5782354,2670,98.0
1576148255.3976324,2680,159.0
1576148257.894648,2690,59.0
1576148260.7495966,2700,67.0
1576148267.1133156,2710,105.0
1576148270.555476,2720,185.0
1576148274.8439946,2730,200.0
1576148277.9635408,2740,67.0
1576148280.7556345,2750,95.0
1576148290.0689795,2760,102.0
1576148293.8367171,2770,149.0
1576148298.0589266,2780,94.0
1576148302.4076786,2790,133.0
1576148305.4632275,2800,139.0
1576148310.768578,2810,28.0
1576148313.0641963,2820,95.0
1576148316.7474053,2830,200.0
1576148320.6334634,2840,146.0
1576148325.106464,2850,126.0
1576148335.7781565,2860,134.0
1576148340.9343746,2870,200.0
1576148345.8723905,2880,178.0
1576148350.877516,2890,43.0
1576148356.138565,2900,184.0
1576148367.4731703,2910,196.0
1576148372.5854924,2920,200.0
1576148376.161327,2930,145.0
1576148381.3958197,2940,200.0
1576148386.5767515,2950,200.0
1576148396.4540734,2960,126.0
1576148401.5934696,2970,191.0
1576148406.43232,2980,153.0
1576148410.844916,2990,138.0
1576148415.061764,3000,167.0
1576148425.4465578,3010,190.0
1576148430.7706125,3020,189.0
1576148436.362351,3030,200.0
1576148441.109822,3040,196.0
1576148446.1102808,3050,198.0
1576148457.6332774,3060,200.0
1576148463.1496947,3070,200.0
1576148466.9245257,3080,136.0
1576148471.1914155,3090,147.0
1576148475.240927,3100,159.0
1576148481.81553,3110,168.0
1576148485.4007611,3120,152.0
1576148488.0744383,3130,200.0
1576148493.1465526,3140,40.0
1576148498.1314592,3150,162.0
1576148507.2934296,3160,54.0
1576148510.1755042,3170,200.0
1576148512.6359305,3180,62.0
1576148515.0139234,3190,92.0
1576148520.2755268,3200,200.0
1576148531.6762092,3210,200.0
1576148537.1904042,3220,200.0
1576148542.4962146,3230,200.0
1576148548.1377885,3240,200.0
1576148552.8951623,3250,100.0
1576148559.3519194,3260,186.0
1576148563.4490385,3270,38.0
1576148566.588544,3280,99.0
1576148569.4121697,3290,87.0
1576148572.9348292,3300,113.0
1576148581.2716367,3310,43.0
1576148585.3028274,3320,200.0
1576148590.1797342,3330,154.0
1576148594.013984,3340,141.0
1576148598.1606472,3350,141.0
1576148607.2768133,3360,177.0
1576148612.682865,3370,200.0
1576148617.376926,3380,200.0
1576148622.256112,3390,193.0
1576148626.8301287,3400,153.0
1576148635.1019251,3410,200.0
1576148638.2606165,3420,175.0
1576148642.331288,3430,200.0
1576148647.4912474,3440,185.0
1576148651.5224059,3450,188.0
1576148657.4875052,3460,175.0
1576148662.3549538,3470,200.0
1576148667.0635726,3480,200.0
1576148671.6859348,3490,113.0
1576148676.632381,3500,149.0
1576148687.3225517,3510,200.0
1576148690.8868709,3520,49.0
1576148695.3017144,3530,122.0
1576148700.3967304,3540,62.0
1576148703.9307883,3550,179.0
1576148712.5863938,3560,111.0
1576148717.4231532,3570,135.0
1576148721.9929385,3580,200.0
1576148727.2398336,3590,168.0
