Wall time,Step,Value
1575994675.6852531,0,200.0
1575994682.4027267,10,9.0
1575994683.208467,20,31.0
1575994684.6369433,30,125.0
1575994689.296669,40,79.0
1575994693.217541,50,135.0
1575994706.626695,60,61.0
1575994710.4512646,70,133.0
1575994716.8413737,80,200.0
1575994721.773413,90,200.0
1575994726.356173,100,200.0
1575994742.2780352,110,200.0
1575994745.097279,120,200.0
1575994749.7199137,130,90.0
1575994755.8220747,140,200.0
1575994761.6045363,150,200.0
1575994776.3052003,160,38.0
1575994780.1275947,170,10.0
1575994785.4958634,180,200.0
1575994789.14676,190,23.0
1575994793.7521136,200,200.0
1575994808.413939,210,182.0
1575994812.6568987,220,144.0
1575994817.6333148,230,146.0
1575994819.9554143,240,37.0
1575994824.1984031,250,20.0
1575994832.7972305,260,10.0
1575994835.4733407,270,13.0
1575994840.288326,280,152.0
1575994842.7012632,290,170.0
1575994846.6497483,300,88.0
1575994849.924494,310,27.0
1575994852.3939395,320,67.0
1575994854.9062347,330,30.0
1575994857.2211568,340,87.0
1575994860.2134082,350,34.0
1575994867.5635474,360,103.0
1575994869.638671,370,10.0
1575994874.0679588,380,71.0
1575994878.25704,390,126.0
1575994881.5930765,400,54.0
1575994884.472312,410,147.0
1575994887.236692,420,154.0
1575994889.8055146,430,62.0
1575994891.6178067,440,45.0
1575994894.3297834,450,123.0
1575994904.5906188,460,110.0
1575994908.3082988,470,9.0
1575994910.0859847,480,52.0
1575994911.576149,490,42.0
1575994915.3011544,500,67.0
1575994923.0544755,510,32.0
1575994926.036834,520,9.0
1575994930.6721077,530,200.0
1575994933.6898518,540,108.0
1575994938.031591,550,102.0
1575994947.1497262,560,117.0
1575994949.9767773,570,103.0
1575994952.3006198,580,10.0
1575994954.8115115,590,143.0
1575994958.2089558,600,200.0
1575994964.8941333,610,14.0
1575994967.9062724,620,122.0
1575994972.1906116,630,109.0
1575994975.525932,640,29.0
1575994979.1367745,650,163.0
1575994987.3505738,660,9.0
1575994988.6692863,670,49.0
1575994990.6900203,680,26.0
1575994994.2228775,690,30.0
1575994997.4106996,700,74.0
1575995001.9625359,710,38.0
1575995005.9330194,720,65.0
1575995008.0539274,730,45.0
1575995009.4601784,740,49.0
1575995011.2823193,750,12.0
1575995013.2250175,760,14.0
1575995015.0160384,770,49.0
1575995016.7152047,780,11.0
1575995019.6765022,790,41.0
1575995022.9377472,800,154.0
1575995032.7790766,810,126.0
1575995036.5280058,820,106.0
1575995039.9631007,830,137.0
1575995043.0769222,840,114.0
1575995045.7942355,850,46.0
1575995053.8955169,860,27.0
1575995057.3664784,870,103.0
1575995058.760319,880,13.0
1575995060.0737913,890,23.0
1575995062.2702568,900,93.0
1575995065.75581,910,162.0
1575995067.9296687,920,54.0
1575995071.201073,930,140.0
1575995074.4100306,940,135.0
1575995078.165735,950,117.0
1575995086.097903,960,97.0
1575995088.3798504,970,9.0
1575995089.8027914,980,122.0
1575995091.4764867,990,10.0
1575995094.9884572,1000,115.0
1575995103.9801595,1010,121.0
1575995107.778976,1020,108.0
1575995112.3151696,1030,138.0
1575995115.1824927,1040,117.0
1575995118.3784454,1050,33.0
1575995122.167567,1060,10.0
1575995125.1456602,1070,73.0
1575995127.7195754,1080,13.0
1575995130.2867227,1090,102.0
1575995133.6601346,1100,94.0
1575995143.2120562,1110,57.0
1575995145.0395555,1120,31.0
1575995147.4267368,1130,9.0
1575995149.338503,1140,51.0
1575995153.6778383,1150,28.0
1575995161.8760316,1160,31.0
1575995163.593881,1170,41.0
1575995165.927861,1180,86.0
1575995168.7616012,1190,10.0
1575995171.6395576,1200,92.0
1575995178.7645292,1210,89.0
1575995182.5245056,1220,37.0
1575995184.5426242,1230,118.0
1575995187.8520317,1240,98.0
1575995191.2948635,1250,53.0
1575995194.5771232,1260,103.0
1575995197.8903587,1270,11.0
1575995200.629806,1280,11.0
1575995201.8407822,1290,52.0
1575995205.4863105,1300,120.0
1575995209.8408525,1310,171.0
1575995212.1979644,1320,72.0
1575995214.701358,1330,200.0
1575995217.3531015,1340,54.0
1575995219.4597328,1350,138.0
1575995224.0313272,1360,86.0
1575995227.4715066,1370,59.0
1575995229.3102553,1380,94.0
1575995230.1943815,1390,35.0
1575995232.498784,1400,99.0
1575995237.636495,1410,28.0
1575995241.083971,1420,110.0
1575995242.8306594,1430,34.0
1575995247.2986844,1440,162.0
1575995249.163282,1450,10.0
1575995252.5079637,1460,91.0
1575995255.2344565,1470,10.0
1575995259.1834097,1480,69.0
1575995261.4521694,1490,108.0
1575995264.3413446,1500,62.0
1575995269.5116773,1510,17.0
1575995270.7454405,1520,40.0
1575995273.6838822,1530,98.0
1575995277.2070827,1540,91.0
1575995280.9188418,1550,46.0
1575995288.5650132,1560,121.0
1575995290.251289,1570,35.0
1575995291.249519,1580,32.0
1575995292.817393,1590,66.0
1575995294.1631021,1600,12.0
1575995299.1908023,1610,46.0
1575995301.214924,1620,94.0
1575995304.259708,1630,25.0
1575995305.5660777,1640,26.0
1575995308.0947309,1650,47.0
1575995311.6496584,1660,131.0
1575995313.3833096,1670,33.0
1575995315.7088842,1680,47.0
1575995318.8903413,1690,125.0
1575995321.9737632,1700,179.0
1575995328.9731386,1710,26.0
1575995331.840485,1720,28.0
1575995334.1363847,1730,14.0
1575995335.1435585,1740,37.0
1575995338.0396364,1750,93.0
1575995343.8942308,1760,64.0
1575995347.0938437,1770,93.0
1575995349.447077,1780,53.0
1575995352.2105215,1790,200.0
1575995354.7891076,1800,51.0
1575995359.9466553,1810,13.0
1575995363.2302701,1820,115.0
1575995366.5077798,1830,28.0
1575995368.305807,1840,18.0
1575995370.2511504,1850,63.0
1575995374.547964,1860,75.0
1575995378.4466808,1870,136.0
1575995381.4531412,1880,67.0
1575995384.2062173,1890,12.0
1575995386.8795595,1900,42.0
1575995392.4867582,1910,26.0
1575995394.642134,1920,31.0
1575995395.972594,1930,19.0
1575995397.083572,1940,40.0
1575995398.311088,1950,14.0
1575995401.6941717,1960,12.0
1575995403.4144268,1970,57.0
1575995404.3577096,1980,15.0
1575995406.3248546,1990,53.0
1575995407.4660015,2000,12.0
1575995409.1837788,2010,11.0
1575995410.1716144,2020,31.0
1575995410.8427927,2030,11.0
1575995411.9920268,2040,17.0
1575995413.1214879,2050,13.0
1575995414.7841866,2060,26.0
1575995415.6513526,2070,37.0
1575995416.7756839,2080,12.0
1575995417.7592866,2090,30.0
1575995419.0582318,2100,10.0
1575995420.6009378,2110,17.0
1575995421.8507788,2120,30.0
1575995423.2041342,2130,19.0
1575995425.2070339,2140,21.0
1575995426.7251897,2150,27.0
1575995430.5527916,2160,27.0
1575995432.2761555,2170,42.0
1575995434.1910794,2180,12.0
1575995436.552426,2190,90.0
1575995438.2886157,2200,23.0
1575995441.1093228,2210,45.0
1575995442.3711605,2220,58.0
1575995443.4687135,2230,12.0
1575995444.5964913,2240,13.0
1575995445.990233,2250,12.0
1575995448.3676603,2260,25.0
1575995449.4535344,2270,26.0
