Wall time,Step,Value
1575947387.4528193,0,9.0
1575947388.0424883,10,10.0
1575947388.1925373,20,10.0
1575947388.3412166,30,11.0
1575947388.4883935,40,10.0
1575947388.6361282,50,20.0
1575947389.1549585,60,9.0
1575947389.306251,70,11.0
1575947389.450602,80,8.0
1575947389.6051183,90,10.0
1575947390.2053602,100,8.0
1575947390.9189663,110,9.0
1575947391.2801952,120,9.0
1575947391.6521394,130,11.0
1575947392.0040166,140,9.0
1575947392.3893545,150,10.0
1575947393.1159883,160,9.0
1575947393.4786277,170,10.0
1575947393.8550687,180,9.0
1575947394.2613544,190,11.0
1575947394.619162,200,9.0
1575947395.3420432,210,9.0
1575947395.7065945,220,10.0
1575947396.077541,230,10.0
1575947396.4508839,240,10.0
1575947396.8340662,250,10.0
1575947397.562526,260,11.0
1575947397.919173,270,9.0
1575947398.2857735,280,10.0
1575947398.6595435,290,10.0
1575947399.0353882,300,10.0
1575947399.7852783,310,9.0
1575947400.1577353,320,10.0
1575947400.5427485,330,9.0
1575947400.9780877,340,10.0
1575947401.392208,350,10.0
1575947402.1744304,360,10.0
1575947402.5718405,370,9.0
1575947402.9411838,380,9.0
1575947403.3209593,390,11.0
1575947403.6960528,400,11.0
1575947404.4751248,410,14.0
1575947404.8772871,420,9.0
1575947405.309632,430,11.0
1575947405.7473555,440,12.0
1575947406.1545136,450,13.0
1575947407.0555596,460,10.0
1575947407.507867,470,14.0
1575947407.9538167,480,15.0
1575947408.3919103,490,11.0
1575947408.8115413,500,10.0
1575947409.9054446,510,23.0
1575947410.5817976,520,17.0
1575947411.219917,530,14.0
1575947411.8883035,540,18.0
1575947412.5751972,550,19.0
1575947413.973868,560,16.0
1575947414.7223845,570,22.0
1575947415.4478347,580,32.0
1575947416.3073337,590,33.0
1575947417.02112,600,19.0
1575947418.7609167,610,31.0
1575947420.1979148,620,57.0
1575947421.6413043,630,51.0
1575947423.4797409,640,61.0
1575947425.3047774,650,60.0
1575947429.3452578,660,62.0
1575947431.135285,670,63.0
1575947433.1391578,680,71.0
1575947434.8837135,690,63.0
1575947436.739446,700,52.0
1575947442.1704416,710,108.0
1575947445.563645,720,104.0
