Wall time,Step,Value
1576152887.729718,0,40.0
1576152890.3075268,10,49.0
1576152891.7076888,20,71.0
1576152892.9851024,30,35.0
1576152894.4864917,40,75.0
1576152895.9121404,50,61.0
1576152899.7945807,60,58.0
1576152900.7808502,70,67.0
1576152901.5376396,80,34.0
1576152903.4354944,90,70.0
1576152905.066286,100,37.0
1576152907.9329627,110,88.0
1576152910.969088,120,130.0
1576152914.1482813,130,127.0
1576152917.4470515,140,171.0
1576152921.2436697,150,200.0
1576152929.953988,160,152.0
1576152933.7125344,170,200.0
1576152935.0644286,180,10.0
1576152937.0455065,190,200.0
1576152940.9439535,200,200.0
1576152950.707164,210,200.0
1576152954.928832,220,200.0
1576152959.1651099,230,200.0
1576152963.124108,240,200.0
1576152967.345445,250,200.0
1576152977.2966235,260,200.0
1576152981.4716656,270,178.0
1576152984.7945242,280,162.0
1576152988.3074288,290,195.0
1576152992.523946,300,200.0
1576153001.283527,310,200.0
1576153005.0210931,320,200.0
1576153009.2500222,330,200.0
1576153013.4590027,340,200.0
1576153015.6478894,350,39.0
1576153019.1365361,360,200.0
1576153023.4158597,370,200.0
1576153027.6336956,380,200.0
1576153031.102327,390,200.0
1576153035.3009346,400,200.0
1576153045.3067594,410,200.0
1576153049.590536,420,200.0
1576153052.5146682,430,72.0
1576153054.9573126,440,200.0
1576153058.79872,450,126.0
1576153065.6258123,460,200.0
1576153069.8417528,470,200.0
1576153074.0560477,480,200.0
1576153078.2673943,490,200.0
1576153082.5004876,500,200.0
1576153092.472142,510,200.0
1576153096.6950877,520,200.0
1576153100.5222077,530,200.0
1576153104.7420976,540,200.0
1576153108.5145178,550,114.0
1576153114.5419376,560,200.0
1576153117.6882875,570,103.0
1576153118.3192742,580,10.0
1576153120.6427832,590,200.0
1576153124.8702822,600,200.0
1576153134.784977,610,200.0
1576153139.0417044,620,200.0
1576153143.2627666,630,200.0
1576153147.5426128,640,200.0
1576153151.7687614,650,200.0
1576153161.7858803,660,200.0
1576153166.015334,670,200.0
1576153170.2376142,680,200.0
