Wall time,Step,Value
1576277494.3904092,0,19.0
1576277495.547761,10,30.0
1576277495.8153684,20,25.0
1576277496.2659774,30,25.0
1576277496.9455528,40,21.0
1576277497.4693332,50,14.0
1576277498.4193351,60,16.0
1576277498.9023619,70,14.0
1576277500.00214,80,64.0
1576277500.8210533,90,24.0
1576277501.942978,100,55.0
1576277504.1883097,110,69.0
1576277505.4884732,120,40.0
1576277507.1541681,130,80.0
1576277508.5628014,140,111.0
1576277509.8813338,150,61.0
1576277512.9412606,160,62.0
1576277515.0115314,170,120.0
1576277518.335296,180,133.0
1576277522.8785613,190,200.0
1576277527.4320302,200,200.0
1576277539.8494968,210,200.0
1576277545.7969546,220,200.0
1576277551.180876,230,200.0
1576277556.17898,240,200.0
1576277560.856336,250,200.0
1576277570.9650788,260,200.0
1576277576.1017969,270,200.0
